cm_end,bit_score,rfam_acc,evalue_score,cm_start,pdb_id,chain,pdb_end,pdb_start,id,description
119,77.20,RF00001,6.3e-17,1,6pcr,J,117,2,5S_rRNA,5S ribosomal RNA
119,86.60,RF00001,2.2e-19,1,6spf,B,117,2,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.4e-17,1,7f0d,B,114,2,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7lvk,J,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,7rqa,1B,119,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,8bgu,3,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,3jcd,B,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,3jce,B,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,4u52,7,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5f,BB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5r,DB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v97,DB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4v9j,DB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,5fdv,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,5uq8,B,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6vwn,3,118,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,4d67,4,119,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4lnt,RB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4v6o,BA,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4wt8,Ds,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,5doy,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,5hcp,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,5imq,E,121,5,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6z6j,C4,121,1,5S_rRNA,5S ribosomal RNA
119,105.80,RF00001,2.5e-24,1,7qep,2,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,9.1e-20,1,8ffz,J,1,121,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4v57,BA,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5j8a,DB,118,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,5lzv,7,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5uym,02,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6qnq,1J,121,5,5S_rRNA,5S ribosomal RNA
119,88.70,RF00001,6.9e-20,1,6tpq,V,120,5,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6z6k,C4,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,7d6z,B,117,2,5S_rRNA,5S ribosomal RNA
119,63.90,RF00001,1.5e-13,1,7pis,4,108,1,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,1nwy,9,121,5,5S_rRNA,5S ribosomal RNA
119,103.90,RF00001,7.7e-24,1,3jbp,AB,118,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4lfz,RB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4v7j,BB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5it8,CB,118,3,5S_rRNA,5S ribosomal RNA
119,100.60,RF00001,6e-23,1,5xxb,3,122,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6cfj,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6cfl,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,7azo,5SA,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7o1a,BB,118,3,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.7e-17,1,1q86,B,121,1,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.7e-17,1,1vqn,9,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,1vy5,BB,119,3,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.7e-15,1,4v4a,B9,118,2,5S_rRNA,5S ribosomal RNA
119,76.00,RF00001,1.3e-16,1,4v6i,DC,118,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,4v78,BB,117,2,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,4v7d,AB,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5lyb,7,121,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5t6r,B,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6oli,E,119,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6z6n,L7,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,7osa,AB,121,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5jcs,z,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5mdv,3,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,5w4k,2B,119,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6d9j,7,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6i7o,YR,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6ord,RB,119,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6y6x,L7,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,7abz,3,117,2,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,7cpv,L7,119,1,5S_rRNA,5S ribosomal RNA
119,63.90,RF00001,1.5e-13,1,7phb,4,108,1,5S_rRNA,5S ribosomal RNA
119,78.20,RF00001,3.4e-17,1,7q08,3,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,8cvk,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5j,BB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4v6l,BA,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4wzd,16,121,5,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5ndv,3,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,5v8i,2B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6n9f,2B,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7n2c,5,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,7rq9,2B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v7x,DB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5we4,B,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6gzx,B1,121,5,5S_rRNA,5S ribosomal RNA
119,83.50,RF00001,1.4e-18,1,7m4x,B,115,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,3jah,7,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,3jct,3,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,4v4p,AB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v8g,DB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,4ypb,YB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4z3s,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,5wis,2B,119,3,5S_rRNA,5S ribosomal RNA
119,77.00,RF00001,6.9e-17,1,6dzi,B,116,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6og7,2,118,3,5S_rRNA,5S ribosomal RNA
119,71.90,RF00001,1.4e-15,1,7jil,3,111,2,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7ssw,2,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,8ekb,2B,119,3,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,4adx,9,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4v7j,AB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4w29,BB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5gag,B,118,3,5S_rRNA,5S ribosomal RNA
119,77.00,RF00001,6.9e-17,1,6dzp,B,116,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6hd7,3,121,1,5S_rRNA,5S ribosomal RNA
119,59.80,RF00001,1.9e-12,1,6wqn,2,115,1,5S_rRNA,5S ribosomal RNA
118,75.80,RF00001,1.4e-16,1,7p7r,B,115,1,5S_rRNA,5S ribosomal RNA
119,88.70,RF00001,6.6e-20,1,7qgu,B,116,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7tos,5S,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,4u4o,7,121,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,4u51,7,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v7w,BB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v8h,BB,119,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5jut,D,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,6b4v,GB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.2e-17,1,6o9j,A,117,2,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6qnq,16,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6wdd,2,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6wde,2,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6x7f,d,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,7bt6,3,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,7nwg,71,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,8bqx,BR,121,1,5S_rRNA,5S ribosomal RNA
119,93.60,RF00001,3.6e-21,1,8p60,K70,119,1,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,3g71,9,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4v7p,CB,119,3,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,5dm7,Y,120,4,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6hcq,71,119,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6r6g,7,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6ysu,B,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,7zw0,LC,121,1,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.7e-17,1,1vqm,9,121,1,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,1y69,9,121,5,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.7e-17,1,3cpw,9,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,4v4t,BB,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4v5y,BA,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,4v72,BB,117,2,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,5jvg,Y,121,5,5S_rRNA,5S ribosomal RNA
119,68.40,RF00001,1.1e-14,1,5t7v,C,114,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6nwy,RB,119,3,5S_rRNA,5S ribosomal RNA
119,88.70,RF00001,6.6e-20,1,6ppf,B,116,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6vyr,d,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7n1p,5,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7oii,3,118,3,5S_rRNA,5S ribosomal RNA
119,109.50,RF00001,5.4e-25,1,8eui,9,169,51,5S_rRNA,5S ribosomal RNA
119,90.60,RF00001,2.1e-20,1,4v5z,BY,113,2,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,4v88,A3,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,6otr,YB,121,5,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6tb3,BR,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6zme,L7,119,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,7lh5,DB,119,3,5S_rRNA,5S ribosomal RNA
119,77.00,RF00001,6.9e-17,1,8fr8,B,116,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,3j9z,LB,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5l,BB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v7x,BB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,5f8k,1B,119,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,6gqb,3,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,6pcs,J,117,2,5S_rRNA,5S ribosomal RNA
119,83.50,RF00001,1.4e-18,1,6v3b,B,115,1,5S_rRNA,5S ribosomal RNA
118,87.60,RF00001,1.3e-19,1,7ozs,3,119,1,5S_rRNA,5S ribosomal RNA
119,83.50,RF00001,1.4e-18,1,7uw1,B,115,1,5S_rRNA,5S ribosomal RNA
119,95.20,RF00001,1.4e-21,1,4v6w,A7,119,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4wra,16,121,5,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5fci,7,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,5zlu,X,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6vyy,d,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6xzb,B2,118,3,5S_rRNA,5S ribosomal RNA
119,121.50,RF00001,2.3e-28,1,7oyb,71,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7pjt,B,118,3,5S_rRNA,5S ribosomal RNA
119,78.20,RF00001,3.4e-17,1,7q0p,3,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,3jaj,7,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,4v7i,A7,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,6boh,C,119,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6gz5,A4,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6wd7,2,118,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6z6l,L7,119,1,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,7a18,Y,120,4,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,7qvp,L9,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,2rdo,A,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,4u25,BB,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4v7k,BB,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v8f,DB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,5hd1,1B,119,3,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6ip8,1B,119,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6nsh,RB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7k52,2,118,3,5S_rRNA,5S ribosomal RNA
119,77.40,RF00001,5.7e-17,1,1q7y,B,121,1,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,3pio,Y,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.6e-23,1,4v4z,BB,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5m,BB,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,4v6y,BB,117,2,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5aka,A,118,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5i4l,7,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6of6,RB,119,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,6ogg,2,118,3,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,6pcq,J,117,2,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,7jql,1B,119,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,7u2i,1B,119,3,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,1yj9,9,121,1,5S_rRNA,5S ribosomal RNA
119,75.20,RF00001,2.1e-16,1,1yjw,9,121,1,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.8e-15,1,4ioa,Y,121,5,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,4v5a,BB,119,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5ndv,7,121,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,5nwy,O,118,3,5S_rRNA,5S ribosomal RNA
119,75.00,RF00001,2.3e-16,1,6ddd,2,115,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6mtd,7,119,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,6p5n,7,119,1,5S_rRNA,5S ribosomal RNA
119,49.60,RF00001,2.2e-08,1,6wnw,4,1185,1069,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,7nbu,b,118,3,5S_rRNA,5S ribosomal RNA
119,71.60,RF00001,1.7e-15,1,7ttu,2,115,1,5S_rRNA,5S ribosomal RNA
119,98.60,RF00001,1.9e-22,1,7z3n,3,120,1,5S_rRNA,5S ribosomal RNA
119,117.00,RF00001,3.2e-27,1,4v8p,C3,119,1,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5jus,D,121,1,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.5e-23,1,6qnr,16,121,5,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.4e-17,1,8g6x,b,118,3,5S_rRNA,5S ribosomal RNA
119,100.70,RF00001,5.4e-23,1,4v9i,BB,119,3,5S_rRNA,5S ribosomal RNA
119,88.80,RF00001,6.5e-20,1,5dat,3,121,1,5S_rRNA,5S ribosomal RNA
119,118.90,RF00001,1e-27,1,5lzt,7,119,1,5S_rRNA,5S ribosomal RNA
119,77.20,RF00001,6.3e-17,1,6pch,J,117,2,5S_rRNA,5S ribosomal RNA
