eq_class,members,representative,model,chains,molecule,nts
35677.3,12,7SFR,1,A,Protein-RNA Complex,3113
26629.3,12,3HK2,1,F,Protein-RNA Complex,15
94066.6,12,8BUU,1,a,Protein-RNA Complex,1538
89111.1,12,7U2I,1,1w,Protein-RNA Complex,69
29848.1,12,3DIL,1,A,Solo RNA,173
16515.1,12,7N06,1,G,Protein-RNA Complex,2
78541.1,12,8EUG,1,1+2,Protein-RNA Complex,3020
40313.4,12,7ZHG,1,2,Protein-RNA Complex,1429
36481.1,12,4CSF,1,u,Protein-RNA Complex,9
80276.3,12,6E1S,1,A,Solo RNA,32
12111.2,12,6D8A,1,C,Protein-RNA Complex,18
65789.1,12,6N6F,1,D,Protein-RNA Complex,3
65987.1,12,7XD9,1,B+C,Protein-RNA Complex,21
13899.1,12,4WZJ,1,XXX,Protein-RNA Complex,68
20585.1,12,6ORD,1,QY,Protein-RNA Complex,76
48252.1,12,5XUZ,1,B,Protein-RNA Complex,40
33675.3,11,6YDP,1,BB,Protein-RNA Complex,67
62528.1,11,5EEU,1,W,Protein-RNA Complex,44
76090.5,11,8FR8,1,A,Protein-RNA Complex,3119
54592.1,11,464D,1,A+B,Solo RNA,13
37229.2,11,1MFQ,1,A,Protein-RNA Complex,127
25376.1,11,6PRV,1,A,Solo RNA,57
00883.1,11,7V4G,1,D,Protein-RNA Complex,3
72076.9,11,6FYY,1,2,Protein-RNA Complex,1768
05217.5,11,3HOY,1,P,Protein-RNA Complex,10
94866.2,11,6N5P,1,A,Solo RNA,126
81965.1,11,6N6D,1,D,Protein-RNA Complex,2
12260.3,11,3MXH,1,R,Protein-RNA Complex,91
78233.3,11,4V9K,1,AW,Protein-RNA Complex,77
26439.1,11,7C06,1,C,Protein-RNA Complex,5
51758.1,11,7RE1,1,T+P,Protein-RNA Complex,71
90795.6,10,6KQE,1,I,Protein-RNA Complex,4
51962.3,10,4YCP,1,B,Protein-RNA Complex,60
09332.1,10,2JLV,1,C,Protein-RNA Complex,7
18848.1,10,6CB3,1,B,Solo RNA,99
78635.1,10,7JQQ,1,O,Protein-RNA Complex,117
64798.1,10,8OIT,1,AG,Protein-RNA Complex,67
25521.1,10,5K77,1,X,Protein-RNA Complex,3
77343.3,10,7SYS,1,i,Protein-RNA Complex,75
41668.2,10,4LJ0,1,C,Protein-RNA Complex,4
19551.7,10,6GAZ,1,AA,Protein-RNA Complex,960
52425.2,10,7R97,1,C,Protein-RNA Complex,28
60125.4,10,6T4Q,1,6,Protein-RNA Complex,76
71217.4,10,6ZMI,1,CC,Protein-RNA Complex,75
65028.2,10,359D,1,B+A,Solo RNA,41
52453.4,10,3OL9,1,B+F+C+G+D+H,Protein-RNA Complex,68
04288.4,10,6N6E,1,D,Protein-RNA Complex,2
90840.5,10,8G9Z,1,E,Protein-RNA Complex,170
02086.1,10,3BBM,1,B+C+A,Solo RNA,61
54098.1,10,7EOG,1,A,Solo RNA,48
24187.1,10,7UVZ,1,v,Protein-RNA Complex,73
60719.1,10,7PY8,1,R,Protein-RNA Complex,11
26576.1,10,4LCK,1,F,Protein-RNA Complex,102
51862.1,10,4LCK,1,B,Protein-RNA Complex,75
24394.1,10,6UFJ,1,C,Solo RNA,50
16130.1,10,1UTD,1,0,Protein-RNA Complex,6
05887.1,9,7YSE,1,E,Protein-RNA Complex,76
03741.2,9,6Z9T,1,R,Protein-RNA Complex,28
24819.3,9,1IL2,1,C,Protein-RNA Complex,67
95963.4,9,5IPL,1,3,Protein-RNA Complex,3
28942.1,9,8HRA,1,K,Protein-RNA Complex,17
65533.1,9,3OVB,1,C,Protein-RNA Complex,36
26426.2,9,6C63,1,A,Solo RNA,36
56633.6,9,7P3K,1,V,Protein-RNA Complex,75
33460.4,9,3PGW,1,R,Protein-RNA Complex,0
48359.1,9,5UZ6,1,A,Solo RNA,23
80360.2,9,6TFF,1,A,Solo RNA,52
17782.1,9,3R1C,1,Q+R,Solo RNA,16
54899.2,9,6KQF,1,I,Protein-RNA Complex,5
88496.1,9,1ET4,1,A,Solo RNA,35
94683.1,9,4XNR,1,X,Solo RNA,71
25735.1,9,1PJG,1,A,DNA-RNA Hybrid,12
17196.2,9,8GWE,1,J+I,Protein-RNA Complex,52
33394.4,9,5B2T,1,A,Protein-RNA Complex,81
41649.1,9,6SQN,1,Y,Protein-RNA Complex,16
91124.3,9,6HC5,1,A,Solo RNA,17
09297.2,9,7O5B,1,U,Protein-RNA Complex,77
38950.2,9,2XDB,1,G,Protein-RNA Complex,35
26836.2,9,4BW0,1,A,Protein-RNA Complex,26
78797.5,9,4LVW,1,A,Solo RNA,89
99409.1,9,6QIT,1,A+B,Solo RNA,16
93339.3,8,6UU4,1,333,Protein-RNA Complex,3
61644.1,8,4X62,1,b+a,Protein-RNA Complex,14
60443.1,8,7PWO,1,2,Protein-RNA Complex,1340
08417.1,8,7UNW,1,A,Protein-RNA Complex,2871
47330.1,8,3SKL,1,B,Solo RNA,64
58299.1,8,2GRB,1,F,Solo RNA,5
88747.1,8,5NFV,1,B,Protein-RNA Complex,40
92345.1,8,7QXA,1,B,Protein-RNA Complex,253
65669.1,8,7UNW,1,a,Protein-RNA Complex,1513
64727.1,8,7UNW,1,B,Protein-RNA Complex,117
10054.2,8,5DH6,1,A,DNA-RNA Hybrid,48
48149.1,8,4RMO,1,B,Protein-RNA Complex,44
45040.1,8,3EPH,1,E,Protein-RNA Complex,69
68446.1,8,4U6K,1,A,DNA-RNA Hybrid,9
75326.1,8,1M5K,1,B,Protein-RNA Complex,91
49161.1,8,6XJQ,1,A,Protein-RNA Complex,58
00138.1,8,7PWG,1,1+4,Protein-RNA Complex,2563
21705.1,8,3SKI,1,A,Solo RNA,66
73441.1,8,5BJO,1,E,Solo RNA,35
51487.1,8,4L8H,1,R,Protein-RNA Complex,20
20305.5,8,6ERI,1,AA,Protein-RNA Complex,2696
33912.2,8,7RIQ,1,R,Protein-RNA Complex,9
91231.1,8,3VYX,1,B+C,Protein-RNA Complex,20
74244.1,8,7ELQ,1,A,Solo RNA,45
67629.1,8,7PWO,1,3,Protein-RNA Complex,117
98067.1,8,8EYU,1,A,Solo RNA,49
57955.2,8,1Q96,1,A,Solo RNA,27
88047.3,8,5UDI,1,B,Protein-RNA Complex,3
51377.2,8,7TTW,1,2,Protein-RNA Complex,111
81203.2,8,4K4Z,1,N+O+P,Protein-RNA Complex,33
83770.1,8,7QQX,1,A,Protein-RNA Complex,83
84537.1,8,2AWE,1,D,Solo RNA,5
23362.1,8,5EBI,1,F,DNA-RNA Hybrid,9
14947.1,8,1KOG,1,O,Protein-RNA Complex,37
41594.1,8,4ILM,1,C,Protein-RNA Complex,16
47203.2,8,3F2X,1,X,Solo RNA,107
04935.1,8,3AL0,1,E,Protein-RNA Complex,74
47836.1,8,6LAX,1,A,Protein-RNA Complex,55
50314.5,8,6ERI,1,Ax,Protein-RNA Complex,118
72776.1,8,5BTP,1,B,Solo RNA,62
05530.5,8,6ERI,1,AB,Protein-RNA Complex,106
51779.4,8,1Z7F,1,A,Solo RNA,16
27756.1,8,3D2V,1,A,Solo RNA,77
27657.1,8,5VJ9,1,C,Solo RNA,16
99575.1,7,7D8O,1,B,Protein-RNA Complex,40
13071.2,7,6EM3,1,2,Protein-RNA Complex,157
10487.1,7,4NFQ,1,A,Solo RNA,15
18337.3,7,1QZC,1,B,Protein-RNA Complex,0
11927.1,7,8ESQ,1,6,Protein-RNA Complex,81
40063.1,7,8SA3,1,A,Solo RNA,210
36362.1,7,1XSH,1,A,Solo RNA,27
19502.2,7,4RGE,1,C,Solo RNA,55
08831.2,7,3NDB,1,M,Protein-RNA Complex,136
57733.1,7,4H8K,1,C,Protein-RNA Complex,14
99632.9,7,6FYY,1,1,Protein-RNA Complex,64
74849.1,7,1MMS,1,C,Protein-RNA Complex,58
57834.3,7,7QTT,1,d+f,Protein-RNA Complex,169
83618.1,7,7QI4,1,Ax,Protein-RNA Complex,70
20773.1,7,6O7H,1,G+H,Protein-RNA Complex,46
01315.2,7,7B9V,1,2+6,Protein-RNA Complex,298
85482.2,7,8EA4,1,7,Protein-RNA Complex,230
17578.2,7,8C6J,1,2+6,Protein-RNA Complex,239
64047.1,7,1PVO,1,L,Protein-RNA Complex,2
99000.1,7,6OZR,1,C+D,Protein-RNA Complex,30
75133.1,7,6DN2,1,Y+X,Solo RNA,109
28980.1,7,3P4C,1,B,Solo RNA,4
91756.1,7,6S8B,1,V+U,Protein-RNA Complex,93
74880.3,7,6TB3,1,n,Protein-RNA Complex,66
68439.1,7,4DB2,1,E+F,Protein-RNA Complex,28
35293.2,7,3P6Y,1,S,Protein-RNA Complex,5
25852.1,7,1M8V,1,P,Protein-RNA Complex,6
69209.1,7,7ORN,1,H+T,Protein-RNA Complex,37
04852.2,7,2UWM,1,D,Protein-RNA Complex,23
71228.2,6,7PZY,1,1+4,Protein-RNA Complex,3365
83277.2,6,7PZY,1,3,Protein-RNA Complex,121
17622.2,6,8OZE,1,A,Protein-RNA Complex,20
92749.1,6,2RU7,3,A,Protein-RNA Complex,12
40453.1,6,6VYU,1,7,Protein-RNA Complex,16
86185.1,6,6O1K,1,O,Protein-RNA Complex,18
97567.1,6,7XK0,1,B,Protein-RNA Complex,70
65417.1,6,6YRQ,1,E,Protein-RNA Complex,3
04536.1,6,5EPI,1,D,Protein-RNA Complex,12
83324.1,6,7Y81,1,B+C,Protein-RNA Complex,55
50005.1,6,2I7Z,1,B,Solo RNA,43
39651.1,6,3HJW,1,D,Protein-RNA Complex,58
61877.3,6,7R6Q,1,6,Protein-RNA Complex,87
36746.1,6,5MGA,1,B,Protein-RNA Complex,40
46025.2,6,7XJG,1,H,Protein-RNA Complex,58
23989.1,6,2BTE,1,B,Protein-RNA Complex,78
24890.3,6,6GSL,1,1L,Protein-RNA Complex,68
49464.2,6,5AY2,1,A+B,Solo RNA,22
04974.3,6,4U3L,1,A+B,Solo RNA,16
34961.3,6,6N7R,1,R,Protein-RNA Complex,558
11762.2,6,7L6T,1,C,Protein-RNA Complex,2
67193.3,6,8D8L,1,a,Protein-RNA Complex,1506
11986.2,6,2YHM,1,K,Protein-RNA Complex,70
63789.1,6,3ADD,1,C,Protein-RNA Complex,88
96354.4,6,6ERI,1,BA,Protein-RNA Complex,1481
22904.1,6,3R1C,1,K+L,Solo RNA,16
22632.1,6,4M6D,1,H,Protein-RNA Complex,42
11616.1,6,6FLQ,1,R,Protein-RNA Complex,21
38961.4,6,7OSM,1,ASIT,Protein-RNA Complex,75
90215.1,6,1YLS,1,B,Solo RNA,34
94871.1,6,6MDZ,1,E+C,Protein-RNA Complex,43
02858.1,6,2QUX,1,F,Protein-RNA Complex,25
07310.1,6,7REX,1,A,Solo RNA,34
15508.1,6,3TRZ,1,U,Protein-RNA Complex,20
54588.1,6,7K98,1,C,Protein-RNA Complex,76
01689.1,6,6KYV,1,G,Protein-RNA Complex,22
70313.2,6,5H9F,1,L,Protein-RNA Complex,60
11689.4,6,7ZUX,1,7,Protein-RNA Complex,77
52535.1,6,7WIE,1,V,Solo RNA,49
38099.1,6,3BNR,1,C+D,Solo RNA,42
78670.1,6,1CVJ,1,N,Protein-RNA Complex,7
33278.1,6,5LYS,1,B,Solo RNA,59
95948.1,6,5VCI,1,A+B,Solo RNA,34
96295.1,6,3M7N,1,X,Protein-RNA Complex,5
55025.1,6,7QQP,1,A,Protein-RNA Complex,83
35629.1,6,2O5I,1,Y,Protein-RNA Complex,16
92683.1,6,2G3S,1,I+J,Solo RNA,16
51660.3,6,5NCO,1,1,Protein-RNA Complex,104
80911.1,6,4V5O,1,BA,Protein-RNA Complex,1745
99471.1,6,5WWT,1,C,Protein-RNA Complex,72
78862.1,6,4V9E,1,Ag,Protein-RNA Complex,36
67400.2,6,6XZD,1,IN1,Protein-RNA Complex,20
31741.1,6,1HNW,1,X,Protein-RNA Complex,6
28207.3,6,6OLE,1,v,Protein-RNA Complex,76
59155.1,6,6RXU,1,C1+C2,Protein-RNA Complex,1805
02142.1,6,4V8N,1,CV,Protein-RNA Complex,77
45609.5,6,6TNU,1,m,Protein-RNA Complex,76
66484.2,6,3HHN,1,E,Protein-RNA Complex,136
15756.1,6,4U8T,1,T,Protein-RNA Complex,6
67328.2,6,6QW6,1,4,Protein-RNA Complex,125
40570.1,6,6CK5,1,A,Solo RNA,108
19377.2,6,5M3H,1,V+R,Protein-RNA Complex,28
11791.1,6,3BSU,1,D,Protein-RNA Complex,12
73731.2,6,3U4M,1,B,Protein-RNA Complex,80
34764.1,6,6YL5,1,I,Solo RNA,25
87525.4,5,8B2L,1,h1,Protein-RNA Complex,1545
92635.3,5,6L5N,1,C,Protein-RNA Complex,7
49890.1,5,1NUV,1,E+F,Solo RNA,24
31699.2,5,4MGN,1,B,Solo RNA,71
47865.1,5,6LQS,1,3A+5A,Protein-RNA Complex,386
86436.1,5,2PN3,1,A+B,Solo RNA,42
27833.1,5,1FOQ,1,B,Solo RNA,109
36248.2,5,7BKQ,1,X+Y,Protein-RNA Complex,30
28322.2,5,7ZPJ,1,B,Protein-RNA Complex,55
94396.3,5,4WAN,1,B,Protein-RNA Complex,7
61343.1,5,1JGQ,1,D,Protein-RNA Complex,68
52698.1,5,8DVU,1,B,Protein-RNA Complex,36
65600.1,5,2XLK,1,C,Protein-RNA Complex,15
11347.1,5,7PO6,1,F,Protein-RNA Complex,3
70662.1,5,6PIJ,1,1,Protein-RNA Complex,60
32738.1,5,6XH2,1,D,Protein-RNA Complex,27
46403.1,5,3BNN,1,C+D,Solo RNA,42
63923.1,5,7Q80,1,B+C+A,Solo RNA,61
40597.1,5,2HW8,1,B,Protein-RNA Complex,36
86590.1,5,7PLI,1,C,Protein-RNA Complex,22
52096.2,5,4TUW,1,C,Protein-RNA Complex,28
48690.1,5,7R81,1,A2,Protein-RNA Complex,1769
56766.1,5,2CD5,1,A,Solo RNA,27
83830.1,5,5MPS,1,6,Protein-RNA Complex,99
41143.1,5,7YNC,1,B+C,Protein-RNA Complex,66
20758.2,5,5F8J,1,B+C,Protein-RNA Complex,23
96800.1,5,7UR5,1,v,Solo RNA,90
36712.2,5,1ZL3,1,B,Protein-RNA Complex,21
91806.3,5,7AQC,1,T,Protein-RNA Complex,76
07779.1,5,1NUV,1,A+B,Solo RNA,24
02804.1,5,8EHQ,1,R,Protein-RNA Complex,29
38259.1,5,5UK4,1,x,Protein-RNA Complex,45
41042.4,5,4OO1,1,S,Protein-RNA Complex,6
96274.2,5,6T4Q,1,7,Protein-RNA Complex,75
87852.1,5,5JCH,1,U+V,Protein-RNA Complex,20
90383.1,5,6KOO,1,I,Protein-RNA Complex,7
67835.1,5,7C07,1,C,Protein-RNA Complex,5
04000.4,5,6ZM6,1,w,Protein-RNA Complex,68
85596.2,5,7UY6,1,B,Protein-RNA Complex,156
56204.1,5,6UGG,1,B,Solo RNA,77
95363.4,5,3K1V,1,A,Solo RNA,29
60897.2,5,6E0O,1,C,Protein-RNA Complex,1
21609.1,5,7CPU,1,L7,Protein-RNA Complex,120
95755.2,5,3J79,1,A+C,Protein-RNA Complex,3342
69766.1,5,4MCF,1,B+D+C+A,Solo RNA,38
60828.6,5,6HIW,1,CA,Protein-RNA Complex,621
82984.1,5,4ENC,1,A,Solo RNA,52
92888.1,5,7Y9X,1,R,Protein-RNA Complex,38
50424.1,5,5U30,1,B,Protein-RNA Complex,99
49339.2,5,5DHC,1,C+D,Solo RNA,20
81676.1,5,6IFK,1,N+J,Protein-RNA Complex,67
20392.1,5,3W1K,1,F,Protein-RNA Complex,92
87221.2,5,7XSP,1,D+A,Protein-RNA Complex,50
18996.1,5,1DI2,1,E,Protein-RNA Complex,10
12697.1,5,6RJA,1,D,Protein-RNA Complex,78
83261.1,5,7Z1O,1,R,Protein-RNA Complex,11
98802.1,5,6DLR,1,A,Solo RNA,106
96091.1,5,7CPU,1,L5+L8,Protein-RNA Complex,3695
18471.1,5,4V4J,1,2,Protein-RNA Complex,75
67574.1,5,5F8N,1,B+C,Protein-RNA Complex,17
88088.1,5,2RKJ,1,C,Protein-RNA Complex,238
42604.1,5,2NR0,1,E,Protein-RNA Complex,80
20325.1,5,5C4X,1,R,Protein-RNA Complex,9
79496.3,5,2DER,1,D,Protein-RNA Complex,71
04836.1,5,6P5I,1,1,Protein-RNA Complex,205
64404.2,5,3TUP,1,T,Protein-RNA Complex,74
17605.2,5,3J79,1,B,Protein-RNA Complex,118
26368.1,5,6LTU,1,B,Protein-RNA Complex,49
72592.1,5,6YWS,1,A,Protein-RNA Complex,2820
64208.1,5,5G4U,1,I+J,Protein-RNA Complex,38
01597.2,5,7NQ4,1,C,Protein-RNA Complex,20
66187.1,5,2TMV,1,R,Protein-RNA Complex,3
86427.1,5,6DME,1,A,Solo RNA,100
64397.1,5,7P7Q,1,D,Protein-RNA Complex,76
39468.1,4,7QCA,1,L50,Protein-RNA Complex,2499
25416.1,4,7QCA,1,L70,Protein-RNA Complex,119
16996.1,4,1I9K,1,A,Solo RNA,6
34740.1,4,4QJD,1,D,Solo RNA,46
02491.2,4,4V6E,1,AX,Protein-RNA Complex,17
20048.1,4,8E6Z,1,7,Protein-RNA Complex,27
84439.1,4,7WAY,1,D,Protein-RNA Complex,115
18889.3,4,5C45,1,X+Y,Solo RNA,109
16115.1,4,2R7X,1,X,Protein-RNA Complex,7
31898.1,4,5U0Q,1,C+D,DNA-RNA Hybrid,14
56124.1,4,3J0O,1,g+G+d,Protein-RNA Complex,51
15716.2,4,6QKL,1,N,Protein-RNA Complex,1158
84026.2,4,5DHB,1,A+B,Solo RNA,8
56330.1,4,6ZMW,1,w,Protein-RNA Complex,75
20576.1,4,3J0O,1,f,Protein-RNA Complex,21
27790.1,4,8BF8,1,B,Protein-RNA Complex,111
30013.1,4,7PMQ,1,F,Protein-RNA Complex,42
05271.1,4,8AS7,1,P+T+G,Protein-RNA Complex,37
45092.1,4,2OM7,1,C,Protein-RNA Complex,96
01612.1,4,1RAU,1,A,Solo RNA,6
31728.1,4,7MJW,1,G,Protein-RNA Complex,12
62858.1,4,1QZW,1,F,Protein-RNA Complex,45
85514.1,4,1YYK,1,C+D,Protein-RNA Complex,24
62142.1,4,3J0O,1,c,Protein-RNA Complex,17
71842.1,4,3J0O,1,3,Protein-RNA Complex,12
30317.1,4,4RWN,1,B+C,Protein-RNA Complex,38
49812.1,4,2M18,9,A,Solo RNA,10
90476.1,4,8GLP,1,Pt,Protein-RNA Complex,72
56999.3,4,8H2H,1,A,Protein-RNA Complex,692
16357.1,4,8A57,1,B,Protein-RNA Complex,114
27557.1,4,4KZD,1,R,Protein-RNA Complex,83
21988.1,4,8A57,1,A,Protein-RNA Complex,2908
08239.1,4,6E8S,1,A,Solo RNA,38
75628.3,4,8AZW,1,C,Protein-RNA Complex,119
29909.1,4,4V9Q,1,DV,Protein-RNA Complex,77
91682.1,4,8AC0,1,R,Protein-RNA Complex,82
51645.1,4,6XU8,1,B2,Protein-RNA Complex,1936
97453.1,4,6OZP,1,c,Protein-RNA Complex,4
